latitude,longitude,UTMX,UTMY,NO2 (mol/m^2),Elevation,Rainfall,Population,VIIRS,Temperature,WindSpeed
28.4,76.84,680258,3142891,0.00014065446508465055,200,68.58333333333333,415.6869,3.8623438,314.0833333333333,121.66666666666667
28.4,76.85000000000001,681238,3142906,0.0001373622208726385,203,69.41666666666667,436.87027,4.0244794,313.4166666666667,120.83333333333333
28.4,76.86000000000001,682218,3142921,0.0001373622208726385,203,69.41666666666667,436.87027,4.0244794,313.4166666666667,120.83333333333333
28.4,76.87000000000002,683198,3142936,0.0001373622208726385,203,69.41666666666667,436.87027,4.0244794,313.4166666666667,120.83333333333333
28.4,76.88000000000002,684178,3142951,0.00011382164563283796,234,45.666666666666664,391.39124,8.549427,319.6666666666667,123.33333333333333
28.4,76.89000000000003,685157,3142967,0.00011382164563283796,234,45.666666666666664,391.39124,8.549427,319.6666666666667,123.33333333333333
28.4,76.90000000000003,686137,3142982,0.00011382164563283796,234,45.666666666666664,391.39124,8.549427,319.6666666666667,123.33333333333333
28.4,76.91000000000004,687117,3142997,0.00011707534516969513,234,46.916666666666664,2141.4246,10.826563,319.25,119.16666666666667
28.4,76.92000000000004,688097,3143013,0.00011707534516969513,234,46.916666666666664,2141.4246,10.826563,319.25,119.16666666666667
28.4,76.93000000000005,689077,3143029,0.00011707534516969513,234,46.916666666666664,2141.4246,10.826563,319.25,119.16666666666667
28.4,76.94000000000005,690057,3143044,0.00011849895278965147,237,46.916666666666664,1394.6282,27.805313,319.25,119.16666666666667
28.4,76.95000000000006,691037,3143060,0.00011849895278965147,237,46.916666666666664,1394.6282,27.805313,319.25,119.16666666666667
28.4,76.96000000000006,692016,3143076,0.00011849895278965147,237,46.916666666666664,1394.6282,27.805313,319.25,119.16666666666667
28.4,76.97000000000007,692996,3143092,0.00011849895278965147,237,46.916666666666664,1394.6282,27.805313,319.25,119.16666666666667
28.4,76.98000000000008,693976,3143108,0.00012501782474390219,241,48.416666666666664,2141.4246,18.872917,318.5833333333333,119.16666666666667
28.4,76.99000000000008,694956,3143124,0.00012501782474390219,241,48.416666666666664,2141.4246,18.872917,318.5833333333333,119.16666666666667
28.4,77.00000000000009,695936,3143141,0.00012501782474390219,241,48.416666666666664,2141.4246,18.872917,318.5833333333333,119.16666666666667
28.4,77.01000000000009,696916,3143157,0.00012820792121775044,231,49.5,2141.3027,19.92,318.0,118.33333333333333
28.4,77.0200000000001,697896,3143173,0.00012820792121775044,231,49.5,2141.3027,19.92,318.0,118.33333333333333
28.4,77.0300000000001,698876,3143190,0.00012820792121775044,231,49.5,2141.3027,19.92,318.0,118.33333333333333
28.4,77.0400000000001,699856,3143206,0.00013621903979478447,229,50.416666666666664,2141.4246,29.471094,317.3333333333333,115.83333333333333
28.4,77.05000000000011,700836,3143223,0.00013621903979478447,229,50.416666666666664,2141.4246,29.471094,317.3333333333333,115.83333333333333
28.4,77.06000000000012,701816,3143240,0.00013621903979478447,229,50.416666666666664,2141.4246,29.471094,317.3333333333333,115.83333333333333
28.4,77.07000000000012,702795,3143257,0.0001382392978318409,235,50.416666666666664,2141.4246,30.433802,317.3333333333333,115.83333333333333
28.4,77.08000000000013,703775,3143273,0.0001382392978318409,235,50.416666666666664,2141.4246,30.433802,317.3333333333333,115.83333333333333
28.4,77.09000000000013,704755,3143290,0.0001382392978318409,235,50.416666666666664,2141.4246,30.433802,317.3333333333333,115.83333333333333
28.4,77.10000000000014,705735,3143307,0.00014173516993437488,267,52.916666666666664,724.9971,11.939062,315.9166666666667,118.33333333333333
28.4,77.11000000000014,706715,3143325,0.00014173516993437488,267,52.916666666666664,724.9971,11.939062,315.9166666666667,118.33333333333333
28.4,77.12000000000015,707695,3143342,0.00014173516993437488,267,52.916666666666664,724.9971,11.939062,315.9166666666667,118.33333333333333
28.4,77.13000000000015,708675,3143359,0.00014059512340039673,281,54.916666666666664,403.58362,4.085104,313.8333333333333,119.16666666666667
28.4,77.14000000000016,709655,3143376,0.00014059512340039673,281,54.916666666666664,403.58362,4.085104,313.8333333333333,119.16666666666667
28.4,77.15000000000016,710635,3143394,0.00014059512340039673,281,54.916666666666664,403.58362,4.085104,313.8333333333333,119.16666666666667
28.4,77.16000000000017,711615,3143411,0.00014251796638928825,284,56.5,403.5836,2.559375,312.9166666666667,122.5
28.4,77.17000000000017,712595,3143429,0.00014251796638928825,284,56.5,403.5836,2.559375,312.9166666666667,122.5
28.4,77.18000000000018,713575,3143447,0.00014251796638928825,284,56.5,403.5836,2.559375,312.9166666666667,122.5
28.4,77.19000000000018,714555,3143465,0.00014498723942496397,276,56.5,1595.3566,3.356875,312.9166666666667,122.5
28.4,77.20000000000019,715535,3143482,0.00014498723942496397,276,56.5,1595.3566,3.356875,312.9166666666667,122.5
28.4,77.21000000000019,716515,3143500,0.00014498723942496397,276,56.5,1595.3566,3.356875,312.9166666666667,122.5
28.4,77.2200000000002,717495,3143518,0.0001500814929484663,230,57.0,3560.863,25.089895,314.4166666666667,120.83333333333333
28.4,77.2300000000002,718475,3143537,0.0001500814929484663,230,57.0,3560.863,25.089895,314.4166666666667,120.83333333333333
28.4,77.24000000000021,719455,3143555,0.0001500814929484663,230,57.0,3560.863,25.089895,314.4166666666667,120.83333333333333
28.4,77.25000000000021,720435,3143573,0.0001656276626420721,208,57.083333333333336,3560.863,10.17849,317.0833333333333,118.33333333333333
28.4,77.26000000000022,721415,3143591,0.0001656276626420721,208,57.083333333333336,3560.863,10.17849,317.0833333333333,118.33333333333333
