latitude,longitude,NO2 (mol/m^2),Elevation,Rainfall,Population,VIIRS,Temperature,WindSpeed
12.85,77.45,7.17868804365683e-05,766.0,0.0,441.3361511230469,5.900000095367432,287.0,190.0
12.85,77.46000000000001,7.377285071205523e-05,764.0,0.0,441.3361511230469,7.177499771118164,287.0,190.0
12.85,77.47000000000001,7.211661148131991e-05,756.0,0.0,441.3362121582031,5.659999847412109,286.0,190.0
12.85,77.48000000000002,6.984033469608004e-05,774.0,0.0,441.33612060546875,5.157500267028809,286.0,190.0
12.85,77.49000000000002,6.879643401393025e-05,768.0,0.0,441.33624267578125,5.550000190734863,286.0,190.0
12.85,77.50000000000003,6.838513552912218e-05,786.0,0.0,441.3360900878906,5.595000267028809,284.0,190.0
12.85,77.51000000000003,6.783927745656772e-05,802.0,0.0,441.3362121582031,14.022500038146973,284.0,190.0
12.85,77.52000000000004,6.865808106699165e-05,836.0,0.0,441.336181640625,17.02750015258789,284.0,190.0
12.85,77.53000000000004,6.865808106699165e-05,837.0,0.0,441.3362121582031,5.552499771118164,284.0,190.0
12.85,77.54000000000005,6.806274846767557e-05,833.0,0.0,441.3361511230469,7.387499809265137,284.0,190.0
12.85,77.55000000000005,6.729531115161348e-05,871.0,0.0,441.33624267578125,12.555000305175781,279.0,190.0
12.85,77.56000000000006,6.584024407730496e-05,885.0,0.0,441.3360595703125,14.25,279.0,190.0
12.85,77.57000000000006,6.288535651217635e-05,919.0,0.0,441.336181640625,35.17749786376953,279.0,190.0
12.85,77.58000000000007,6.047095604692289e-05,934.0,0.0,441.3362121582031,62.35000228881836,279.0,190.0
12.85,77.59000000000007,5.7820698617606696e-05,921.0,0.0,441.3362121582031,41.79249954223633,277.0,190.0
12.85,77.60000000000008,5.780143639009287e-05,928.0,0.0,441.33612060546875,30.954999923706055,277.0,190.0
12.85,77.61000000000008,5.780143639009287e-05,931.0,0.0,441.3362121582031,14.827499389648438,277.0,190.0
12.85,77.62000000000009,5.643987534558845e-05,928.0,0.0,441.33612060546875,16.602500915527344,277.0,190.0
12.85,77.6300000000001,5.523462496343038e-05,930.0,0.0,441.33624267578125,21.667499542236328,277.0,190.0
12.85,77.6400000000001,5.267210557770149e-05,925.0,0.0,441.3361511230469,16.572500228881836,277.0,190.0
12.85,77.6500000000001,4.96329273156229e-05,928.0,0.0,441.3362121582031,19.350000381469727,277.0,190.0
12.85,77.66000000000011,4.482244531429671e-05,930.0,0.0,441.3362121582031,50.34250259399414,277.0,190.0
12.85,77.67000000000012,4.256224449977564e-05,925.0,0.0,441.3361511230469,60.86000061035156,277.0,190.0
12.85,77.68000000000012,3.673822442843631e-05,934.0,0.0,646.47705078125,36.1875,277.0,190.0
12.85,77.69000000000013,3.420500882821016e-05,918.0,0.0,1085.9088134765625,14.162500381469727,277.0,190.0
12.85,77.70000000000013,3.420500882821016e-05,895.0,0.0,936.2922973632812,8.602499961853027,277.0,190.0
12.85,77.71000000000014,3.296759577443478e-05,889.0,0.0,1085.9090576171875,6.797500133514404,277.0,180.0
12.85,77.72000000000014,3.1403960059615416e-05,889.0,0.0,1085.908935546875,7.159999847412109,277.0,180.0
12.85,77.73000000000015,3.0143312474206306e-05,900.0,0.0,1085.9090576171875,10.484999656677246,277.0,180.0
12.85,77.74000000000015,2.8403770401257476e-05,888.0,0.0,1085.9090576171875,12.207500457763672,277.0,180.0
12.85,77.75000000000016,3.108263174131792e-05,888.0,0.0,1085.90869140625,3.3524999618530273,277.0,170.0
12.85,77.76000000000016,3.0781173565000794e-05,903.0,0.0,1085.9091796875,5.197500228881836,277.0,170.0
12.85,77.77000000000017,3.0079669785119394e-05,898.0,0.0,1085.908935546875,7.965000152587891,277.0,170.0
12.85,77.78000000000017,2.979381084428583e-05,891.0,0.0,1085.9090576171875,17.095001220703125,277.0,170.0
12.85,77.79000000000018,2.979381084428583e-05,876.0,0.0,1085.9090576171875,4.644999980926514,277.0,170.0
12.86,77.45,7.17868804365683e-05,767.0,0.0,441.3215026855469,6.84250020980835,287.0,190.0
12.86,77.46000000000001,7.377285071205523e-05,776.0,0.0,441.321533203125,7.127500057220459,287.0,190.0
12.86,77.47000000000001,7.211661148131991e-05,772.0,0.0,441.3215637207031,5.577499866485596,286.0,190.0
12.86,77.48000000000002,6.984033469608004e-05,789.0,0.0,441.3215026855469,2.742499828338623,286.0,190.0
12.86,77.49000000000002,6.879643401393025e-05,791.0,0.0,441.32159423828125,2.559999942779541,286.0,190.0
12.86,77.50000000000003,6.838513552912218e-05,823.0,0.0,441.32147216796875,2.7899999618530273,284.0,190.0
12.86,77.51000000000003,6.783927745656772e-05,831.0,0.0,441.3215637207031,7.372499942779541,284.0,190.0
12.86,77.52000000000004,6.865808106699165e-05,861.0,0.0,441.3215637207031,9.65250015258789,284.0,190.0
12.86,77.53000000000004,6.865808106699165e-05,862.0,0.0,441.3215637207031,19.857500076293945,284.0,190.0
12.86,77.54000000000005,6.806274846767557e-05,880.0,0.0,441.3215026855469,24.667499542236328,284.0,190.0
12.86,77.55000000000005,6.729531115161348e-05,861.0,0.0,441.32159423828125,26.530000686645508,279.0,190.0
12.86,77.56000000000006,6.584024407730496e-05,895.0,0.0,441.3214416503906,18.154998779296875,279.0,190.0
12.86,77.57000000000006,6.288535651217635e-05,926.0,0.0,441.3215637207031,42.09749984741211,279.0,190.0
12.86,77.58000000000007,6.047095604692289e-05,941.0,0.0,441.3215637207031,60.125,279.0,190.0
12.86,77.59000000000007,5.7820698617606696e-05,917.0,0.0,441.3215637207031,52.220001220703125,277.0,190.0
12.86,77.60000000000008,5.780143639009287e-05,924.0,0.0,441.32147216796875,37.91749954223633,277.0,190.0
12.86,77.61000000000008,5.780143639009287e-05,930.0,0.0,441.3215637207031,27.029998779296875,277.0,190.0
12.86,77.62000000000009,5.643987534558845e-05,908.0,0.0,441.321533203125,20.0625,277.0,190.0
12.86,77.6300000000001,5.523462496343038e-05,903.0,0.0,441.3215637207031,13.467500686645508,277.0,190.0
12.86,77.6400000000001,5.267210557770149e-05,918.0,0.0,441.321533203125,13.850000381469727,277.0,190.0
12.86,77.6500000000001,4.96329273156229e-05,935.0,0.0,441.3215637207031,15.452500343322754,277.0,190.0
12.86,77.66000000000011,4.482244531429671e-05,915.0,0.0,441.3215637207031,51.665000915527344,277.0,190.0
12.86,77.67000000000012,4.256224449977564e-05,912.0,0.0,441.3215026855469,48.02499771118164,277.0,190.0
12.86,77.68000000000012,3.673822442843631e-05,922.0,0.0,536.3631591796875,16.84000015258789,277.0,190.0
12.86,77.69000000000013,3.420500882821016e-05,904.0,0.0,1085.6119384765625,11.977499961853027,277.0,190.0
12.86,77.70000000000013,3.420500882821016e-05,909.0,0.0,1085.873046875,10.434999465942383,277.0,190.0
12.86,77.71000000000014,3.296759577443478e-05,898.0,0.0,872.9183959960938,11.412500381469727,277.0,180.0
12.86,77.72000000000014,3.1403960059615416e-05,892.0,0.0,1082.8563232421875,7.097499847412109,277.0,180.0
12.86,77.73000000000015,3.0143312474206306e-05,902.0,0.0,1085.873046875,7.789999961853027,277.0,180.0
12.86,77.74000000000015,2.8403770401257476e-05,892.0,0.0,1085.8729248046875,7.022500038146973,277.0,180.0
12.86,77.75000000000016,3.108263174131792e-05,907.0,0.0,1085.872802734375,4.722499847412109,277.0,170.0
12.86,77.76000000000016,3.0781173565000794e-05,894.0,0.0,1085.873046875,7.650000095367432,277.0,170.0
12.86,77.77000000000017,3.0079669785119394e-05,900.0,0.0,1085.8729248046875,10.760000228881836,277.0,170.0
12.86,77.78000000000017,2.979381084428583e-05,892.0,0.0,1085.873046875,8.452499389648438,277.0,170.0
12.86,77.79000000000018,2.979381084428583e-05,875.0,0.0,1085.8729248046875,14.552499771118164,277.0,170.0
12.87,77.45,7.457459945790146e-05,752.0,0.0,441.30682373046875,9.854999542236328,287.0,190.0
12.87,77.46000000000001,7.760799326234931e-05,764.0,0.0,441.3068542480469,7.197500228881836,287.0,190.0
12.87,77.47000000000001,7.744504397004116e-05,789.0,0.0,441.306884765625,4.942500114440918,286.0,190.0
12.87,77.48000000000002,7.586581501924458e-05,785.0,0.0,441.30682373046875,4.512499809265137,286.0,190.0
12.87,77.49000000000002,7.390916669913192e-05,805.0,0.0,441.3069152832031,3.434999942779541,286.0,190.0
12.87,77.50000000000003,7.2066424395191e-05,839.0,0.0,441.3067932128906,4.255000114440918,284.0,190.0
12.87,77.51000000000003,7.105095352237466e-05,838.0,0.0,441.306884765625,15.007499694824219,284.0,190.0
12.87,77.52000000000004,7.198856072354044e-05,860.0,0.0,441.3068542480469,22.510000228881836,284.0,190.0
12.87,77.53000000000004,7.198856072354044e-05,881.0,0.0,441.3069152832031,33.817501068115234,284.0,190.0
12.87,77.54000000000005,7.080562665493237e-05,895.0,0.0,441.3067932128906,52.73749923706055,284.0,190.0
12.87,77.55000000000005,7.066667507856948e-05,864.0,0.0,441.3069152832031,49.12000274658203,279.0,190.0
12.87,77.56000000000006,6.864683561865262e-05,907.0,0.0,441.3067626953125,25.247501373291016,279.0,190.0
12.87,77.57000000000006,6.650329335536127e-05,921.0,0.0,441.3068542480469,53.529998779296875,279.0,190.0
12.87,77.58000000000007,6.477150330080795e-05,930.0,0.0,441.306884765625,63.220001220703125,279.0,190.0
12.87,77.59000000000007,6.364421052209593e-05,930.0,0.0,441.306884765625,56.814998626708984,277.0,190.0
12.87,77.60000000000008,6.2720688868495e-05,907.0,0.0,301.5580749511719,44.587501525878906,277.0,190.0
12.87,77.61000000000008,6.2720688868495e-05,910.0,0.0,441.3069152832031,39.79750061035156,277.0,190.0
12.87,77.62000000000009,6.08532268014109e-05,912.0,0.0,441.3068542480469,30.864999771118164,277.0,190.0
12.87,77.6300000000001,5.846779244133324e-05,896.0,0.0,344.9545593261719,20.225000381469727,277.0,190.0
12.87,77.6400000000001,5.5555271717061786e-05,905.0,0.0,441.3068542480469,20.145000457763672,277.0,190.0
12.87,77.6500000000001,5.203462307325913e-05,916.0,0.0,441.306884765625,24.709999084472656,277.0,190.0
12.87,77.66000000000011,4.597055492473728e-05,920.0,0.0,441.3069152832031,50.73749923706055,277.0,190.0
12.87,77.67000000000012,4.226633204772515e-05,909.0,0.0,733.2410278320312,33.48749923706055,277.0,190.0
