latitude,longitude,UTMX,UTMY,NO2 (mol/m^2),Elevation,Rainfall,Population,VIIRS,Temperature,WindSpeed
12.85,77.70000000000013,793065,1422084,7.02065258637924e-05,887,92.91666666666667,765.67944,10.419844,298.1666666666667,183.33333333333334
12.85,77.71000000000014,794151,1422096,7.02065258637924e-05,887,92.91666666666667,765.67944,10.419844,298.1666666666667,183.33333333333334
12.85,77.72000000000014,795237,1422107,6.846785014256391e-05,890,92.66666666666667,706.84906,4.9664063,298.6666666666667,180.83333333333334
12.85,77.73000000000015,796323,1422119,6.846785014256391e-05,890,92.66666666666667,706.84906,4.9664063,298.6666666666667,180.83333333333334
12.85,77.74000000000015,797410,1422130,6.846785014256391e-05,890,92.66666666666667,706.84906,4.9664063,298.6666666666667,180.83333333333334
12.85,77.75000000000016,798496,1422142,6.681017201599062e-05,873,91.91666666666667,460.29584,5.4627085,299.0,185.83333333333334
12.85,77.76000000000016,799582,1422154,6.681017201599062e-05,873,91.91666666666667,460.29584,5.4627085,299.0,185.83333333333334
12.85,77.77000000000017,800668,1422165,6.681017201599062e-05,873,91.91666666666667,460.29584,5.4627085,299.0,185.83333333333334
12.85,77.78000000000017,801754,1422177,6.435983881935391e-05,855,91.91666666666667,445.38153,14.383646,299.0,185.83333333333334
12.85,77.79000000000018,802841,1422189,6.435983881935391e-05,855,91.91666666666667,445.38153,14.383646,299.0,185.83333333333334
12.86,77.45,765903,1422920,7.387296265584962e-05,805,88.66666666666667,311.18817,5.8515105,306.0833333333333,194.16666666666666
12.86,77.46000000000001,766989,1422930,7.387296265584962e-05,805,88.66666666666667,311.18817,5.8515105,306.0833333333333,194.16666666666666
12.86,77.47000000000001,768075,1422940,7.611976487667062e-05,816,90.25,453.30472,3.5284896,304.6666666666667,192.5
12.86,77.48000000000002,769161,1422951,7.611976487667062e-05,816,90.25,453.30472,3.5284896,304.6666666666667,192.5
12.86,77.49000000000002,770247,1422961,7.611976487667062e-05,816,90.25,453.30472,3.5284896,304.6666666666667,192.5
12.86,77.50000000000003,771333,1422972,7.732583842763802e-05,882,91.25,411.2515,5.5107293,301.5,189.16666666666666
12.86,77.51000000000003,772419,1422982,7.732583842763802e-05,882,91.25,411.2515,5.5107293,301.5,189.16666666666666
12.86,77.52000000000004,773505,1422993,7.732583842763802e-05,882,91.25,411.2515,5.5107293,301.5,189.16666666666666
12.86,77.53000000000004,774591,1423004,7.914032663813428e-05,933,91.25,311.1882,23.734531,301.5,189.16666666666666
12.86,77.54000000000005,775677,1423014,7.914032663813428e-05,933,91.25,311.1882,23.734531,301.5,189.16666666666666
12.86,77.55000000000005,776763,1423025,7.914032663813428e-05,933,91.25,311.1882,23.734531,301.5,189.16666666666666
12.86,77.56000000000006,777849,1423036,7.996968327149607e-05,929,92.16666666666667,356.1668,27.992344,298.0,189.16666666666666
12.86,77.57000000000006,778935,1423047,7.996968327149607e-05,929,92.16666666666667,356.1668,27.992344,298.0,189.16666666666666
12.86,77.58000000000007,780021,1423058,7.94465775531685e-05,928,92.58333333333333,390.3647,37.029896,296.25,185.83333333333334
12.86,77.59000000000007,781107,1423069,7.94465775531685e-05,928,92.58333333333333,390.3647,37.029896,296.25,185.83333333333334
12.86,77.60000000000008,782193,1423080,7.94465775531685e-05,928,92.58333333333333,390.3647,37.029896,296.25,185.83333333333334
12.86,77.61000000000008,783279,1423091,7.8092879635748e-05,923,92.58333333333333,594.6031,16.89125,296.25,185.83333333333334
12.86,77.62000000000009,784365,1423102,7.8092879635748e-05,923,92.58333333333333,594.6031,16.89125,296.25,185.83333333333334
12.86,77.6300000000001,785451,1423113,7.8092879635748e-05,923,92.58333333333333,594.6031,16.89125,296.25,185.83333333333334
12.86,77.6400000000001,786537,1423124,7.666521668948462e-05,910,92.5,765.67944,31.749374,297.3333333333333,185.83333333333334
12.86,77.6500000000001,787623,1423135,7.666521668948462e-05,910,92.5,765.67944,31.749374,297.3333333333333,185.83333333333334
12.86,77.66000000000011,788709,1423146,7.666521668948462e-05,910,92.5,765.67944,31.749374,297.3333333333333,185.83333333333334
12.86,77.67000000000012,789795,1423157,7.458873573837891e-05,890,92.91666666666667,765.67957,26.071823,298.1666666666667,183.33333333333334
12.86,77.68000000000012,790881,1423169,7.458873573837891e-05,890,92.91666666666667,765.67957,26.071823,298.1666666666667,183.33333333333334
12.86,77.69000000000013,791967,1423180,7.458873573837891e-05,890,92.91666666666667,765.67957,26.071823,298.1666666666667,183.33333333333334
12.86,77.70000000000013,793053,1423191,7.02065258637924e-05,887,92.91666666666667,765.67944,10.419844,298.1666666666667,183.33333333333334
12.86,77.71000000000014,794139,1423203,7.02065258637924e-05,887,92.91666666666667,765.67944,10.419844,298.1666666666667,183.33333333333334
12.86,77.72000000000014,795226,1423214,6.846785014256391e-05,890,92.66666666666667,706.84906,4.9664063,298.6666666666667,180.83333333333334
12.86,77.73000000000015,796312,1423226,6.846785014256391e-05,890,92.66666666666667,706.84906,4.9664063,298.6666666666667,180.83333333333334
12.86,77.74000000000015,797398,1423237,6.846785014256391e-05,890,92.66666666666667,706.84906,4.9664063,298.6666666666667,180.83333333333334
12.86,77.75000000000016,798484,1423249,6.681017201599062e-05,873,91.91666666666667,460.29584,5.4627085,299.0,185.83333333333334
12.86,77.76000000000016,799570,1423261,6.681017201599062e-05,873,91.91666666666667,460.29584,5.4627085,299.0,185.83333333333334
12.86,77.77000000000017,800656,1423272,6.681017201599062e-05,873,91.91666666666667,460.29584,5.4627085,299.0,185.83333333333334
12.86,77.78000000000017,801742,1423284,6.435983881935391e-05,855,91.91666666666667,445.38153,14.383646,299.0,185.83333333333334
12.86,77.79000000000018,802829,1423296,6.435983881935391e-05,855,91.91666666666667,445.38153,14.383646,299.0,185.83333333333334
12.87,77.45,765892,1424026,7.387296265584962e-05,805,88.66666666666667,311.18817,5.8515105,306.0833333333333,194.16666666666666
12.87,77.46000000000001,766978,1424037,7.387296265584962e-05,805,88.66666666666667,311.18817,5.8515105,306.0833333333333,194.16666666666666
12.87,77.47000000000001,768064,1424047,7.611976487667062e-05,816,90.25,453.30472,3.5284896,304.6666666666667,192.5
12.87,77.48000000000002,769150,1424058,7.611976487667062e-05,816,90.25,453.30472,3.5284896,304.6666666666667,192.5
12.87,77.49000000000002,770236,1424068,7.611976487667062e-05,816,90.25,453.30472,3.5284896,304.6666666666667,192.5
12.87,77.50000000000003,771322,1424079,7.732583842763802e-05,882,91.25,411.2515,5.5107293,301.5,189.16666666666666
12.87,77.51000000000003,772408,1424089,7.732583842763802e-05,882,91.25,411.2515,5.5107293,301.5,189.16666666666666
12.87,77.52000000000004,773494,1424100,7.732583842763802e-05,882,91.25,411.2515,5.5107293,301.5,189.16666666666666
12.87,77.53000000000004,774580,1424111,7.914032663813428e-05,933,91.25,311.1882,23.734531,301.5,189.16666666666666
12.87,77.54000000000005,775666,1424121,7.914032663813428e-05,933,91.25,311.1882,23.734531,301.5,189.16666666666666
12.87,77.55000000000005,776752,1424132,7.914032663813428e-05,933,91.25,311.1882,23.734531,301.5,189.16666666666666
12.87,77.56000000000006,777838,1424143,7.996968327149607e-05,929,92.16666666666667,356.1668,27.992344,298.0,189.16666666666666
12.87,77.57000000000006,778923,1424154,7.996968327149607e-05,929,92.16666666666667,356.1668,27.992344,298.0,189.16666666666666
12.87,77.58000000000007,780009,1424165,7.94465775531685e-05,928,92.58333333333333,390.3647,37.029896,296.25,185.83333333333334
12.87,77.59000000000007,781095,1424175,7.94465775531685e-05,928,92.58333333333333,390.3647,37.029896,296.25,185.83333333333334
12.87,77.60000000000008,782181,1424186,7.94465775531685e-05,928,92.58333333333333,390.3647,37.029896,296.25,185.83333333333334
12.87,77.61000000000008,783267,1424197,7.8092879635748e-05,923,92.58333333333333,594.6031,16.89125,296.25,185.83333333333334
12.87,77.62000000000009,784353,1424208,7.8092879635748e-05,923,92.58333333333333,594.6031,16.89125,296.25,185.83333333333334
12.87,77.6300000000001,785439,1424220,7.8092879635748e-05,923,92.58333333333333,594.6031,16.89125,296.25,185.83333333333334
12.87,77.6400000000001,786525,1424231,7.666521668948462e-05,910,92.5,765.67944,31.749374,297.3333333333333,185.83333333333334
12.87,77.6500000000001,787611,1424242,7.666521668948462e-05,910,92.5,765.67944,31.749374,297.3333333333333,185.83333333333334
12.87,77.66000000000011,788697,1424253,7.666521668948462e-05,910,92.5,765.67944,31.749374,297.3333333333333,185.83333333333334
12.87,77.67000000000012,789784,1424264,7.458873573837891e-05,890,92.91666666666667,765.67957,26.071823,298.1666666666667,183.33333333333334
12.87,77.68000000000012,790870,1424276,7.458873573837891e-05,890,92.91666666666667,765.67957,26.071823,298.1666666666667,183.33333333333334
12.87,77.69000000000013,791956,1424287,7.458873573837891e-05,890,92.91666666666667,765.67957,26.071823,298.1666666666667,183.33333333333334
12.87,77.70000000000013,793042,1424298,7.02065258637924e-05,887,92.91666666666667,765.67944,10.419844,298.1666666666667,183.33333333333334
12.87,77.71000000000014,794128,1424310,7.02065258637924e-05,887,92.91666666666667,765.67944,10.419844,298.1666666666667,183.33333333333334
12.87,77.72000000000014,795214,1424321,6.846785014256391e-05,890,92.66666666666667,706.84906,4.9664063,298.6666666666667,180.83333333333334
12.87,77.73000000000015,796300,1424333,6.846785014256391e-05,890,92.66666666666667,706.84906,4.9664063,298.6666666666667,180.83333333333334
12.87,77.74000000000015,797386,1424344,6.846785014256391e-05,890,92.66666666666667,706.84906,4.9664063,298.6666666666667,180.83333333333334
12.87,77.75000000000016,798472,1424356,6.681017201599062e-05,873,91.91666666666667,460.29584,5.4627085,299.0,185.83333333333334
12.87,77.76000000000016,799558,1424368,6.681017201599062e-05,873,91.91666666666667,460.29584,5.4627085,299.0,185.83333333333334
12.87,77.77000000000017,800644,1424379,6.681017201599062e-05,873,91.91666666666667,460.29584,5.4627085,299.0,185.83333333333334
12.87,77.78000000000017,801731,1424391,6.435983881935391e-05,855,91.91666666666667,445.38153,14.383646,299.0,185.83333333333334
12.87,77.79000000000018,802817,1424403,6.435983881935391e-05,855,91.91666666666667,445.38153,14.383646,299.0,185.83333333333334
12.879999999999999,77.45,765882,1425133,7.638315629089698e-05,828,88.41666666666667,311.16754,12.6076565,305.0833333333333,192.5
12.879999999999999,77.46000000000001,766968,1425144,7.638315629089698e-05,828,88.41666666666667,311.16754,12.6076565,305.0833333333333,192.5
12.879999999999999,77.47000000000001,768054,1425154,7.860138854879182e-05,876,89.75,311.16757,21.30974,305.0,190.83333333333334
12.879999999999999,77.48000000000002,769139,1425164,7.860138854879182e-05,876,89.75,311.16757,21.30974,305.0,190.83333333333334
12.879999999999999,77.49000000000002,770225,1425175,7.860138854879182e-05,876,89.75,311.16757,21.30974,305.0,190.83333333333334
12.879999999999999,77.50000000000003,771311,1425185,8.02009461664868e-05,901,90.75,311.1675,17.241302,302.75,191.66666666666666
12.879999999999999,77.51000000000003,772397,1425196,8.02009461664868e-05,901,90.75,311.1675,17.241302,302.75,191.66666666666666
12.879999999999999,77.52000000000004,773483,1425207,8.02009461664868e-05,901,90.75,311.1675,17.241302,302.75,191.66666666666666
12.879999999999999,77.53000000000004,774569,1425217,8.24348012026623e-05,929,90.75,311.16757,36.323387,302.75,191.66666666666666
12.879999999999999,77.54000000000005,775655,1425228,8.24348012026623e-05,929,90.75,311.16757,36.323387,302.75,191.66666666666666
12.879999999999999,77.55000000000005,776741,1425239,8.24348012026623e-05,929,90.75,311.16757,36.323387,302.75,191.66666666666666
12.879999999999999,77.56000000000006,777826,1425250,8.399459881999181e-05,912,91.75,311.16754,49.629375,300.8333333333333,194.16666666666666
12.879999999999999,77.57000000000006,778912,1425260,8.399459881999181e-05,912,91.75,311.16754,49.629375,300.8333333333333,194.16666666666666
